Nombre,Camiseta, POS,Edad,NAC
Thibaut Courtois,1,G,32,Bélgica
Andriy Lunin,13,G,26,Ucrania
Fran González,26,G,19,España
Sergio Mestre,34,G,20,España
Dani Carvajal,2,D,33,España
Éder Militão,3,D,27,Brasil
David Alaba,4,D,32,Austria
Lucas Vázquez,17,D,33,España
Jesús Vallejo,18,D,28,España
Fran García,20,D,25,España
Antonio Rüdiger,22,D,32,Alemania
Ferland Mendy,23,D,29,Francia
Youssef Lekhedim,29,D,19,Marruecos
Jacobo Ramón,31,D,20,España
Raúl Asencio,35,D,22,España
David Jiménez,38,D,20,España
Lorenzo Aguado,39,D,22,España
Diego Aguado,43,D,18,España
Mario Rivas,48,D,17,España
Jude Bellingham,5,M,21,Inglaterra
Eduardo Camavinga,6,M,22,Francia
Federico Valverde,8,M,26,Uruguay
Luka Modric,10,M,39,Croacia
Aurélien Tchouaméni,14,M,25,Francia
Arda Güler,15,M,20,Turquía
Dani Ceballos,19,M,28,España
Brahim Díaz,21,M,25,Marruecos
Chema Andrés,36,M,19,España
Hugo De Llanos,40,M,19,España
Vinícius Júnior,7,A,24,Brasil
Kylian Mbappé,9,A,26,Francia
Rodrygo,11,A,24,Brasil
Endrick,16,A,18,Brasil
Gonzalo García,30,A,20,España
Daniel Yañez,42,A,17,España
Víctor Muñoz,44,A,21,España
Pol Fortuny,47,A,20,España